test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%); coverage (%);begin_used_cpu;batteryremaining;cpu1load;cpu4load;begin_main_cpu_freq;cpu3frequency;begin_nr_procceses;begin_nr_files_keyboard_folder;end_ischarging;memoryusage;end_used_mem_kernel;cpu1frequency;cpu2load;cpuloadnormalized;end_main_cpu_freq;end_battery_temperature;end_used_cpu;begin_keyboard;batterystatus;begin_battery_temperature;begin_used_mem_kernel;cpuload;batterypower;end_nr_files_keyboard_folder;applicationstate;begin_ischarging;begin_used_mem_pss;gpuload;cpu4frequency;gpufrequency;begin_battery_level;cpu3load;elapsedtime;screenbrightness;end_used_mem_pss;end_battery_level;begin_battery_voltage;end_keyboard;cpu2frequency;description;end_battery_voltage;end_nr_procceses;energyconsumed;total_loc;total_complexity;total_loc_java;total_loc_kotlin;total_traced_methods;total_coverage;timestamp_begin_begin;used_cpu_begin_begin;used_mem_pss_begin_begin;used_mem_kernel_begin_begin;nr_processes_begin_begin;ischarging_begin_begin;battery_level_begin_begin;battery_temperature_begin_begin;keyboard_begin_begin;battery_voltage_begin_begin;screen_state_begin_begin;screen_brightness_begin_begin;wifi_begin_begin;bluetooth_begin_begin;hotspot_begin_begin;nfc_begin_begin;gps_begin_begin;speaker_begin_begin;timestampendend;used_cpuendend;used_mem_pssendend;used_mem_kernelendend;nr_processesendend;ischargingendend;battery_levelendend;battery_temperatureendend;keyboardendend;battery_voltageendend;screen_stateendend;screen_brightnessendend;wifiendend;bluetoothendend;hotspotendend;nfcendend;gpsendend;speakerendend;perf_issues;red_apis;app_category
16;6.384975331118277;5963;22.66;1574337.02;0.36;26.446280991735538;9.78;100.00;14.00;0.00;-1;0.00;0;-1;1;1574337.02;112772;1267200.00;0.00;22.66;-1;356;9.78;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112772;22.00;238866.00;-1;1.00;1;607909;0.36;0.00;200000.00;100;0.00;5963;1.00;607909;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;6.384975331118277;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;5;PRODUCTIVITY
346346;6.783223312447031;5393;26.13;1581963.78;5.19;26.446280991735538;9.39;100.00;11.00;0.00;-1;0.00;0;-1;1;1581963.78;112776;960000.00;0.00;26.13;-1;356;9.39;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112776;15.00;342040.00;-1;1.00;1;614394;5.19;0.00;200000.00;100;0.00;5393;1.00;614394;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;6.783223312447031;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
2018;6.145343075616856;5105;24.51;1569907.92;1.96;28.92561983471074;9.42;100.00;0.00;0.00;-1;0.00;0;-1;1;1569907.92;110112;1267200.00;0.00;24.51;-1;356;9.42;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;110112;11.00;88173.00;-1;1.00;1;608540;1.96;0.00;200000.00;100;0.00;5105;1.00;608540;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1267200.00;0.00;4321;0;6.145343075616856;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
11099507;6.5937075687992985;5413;25.20;1579127.70;3.89;25.6198347107438;9.64;100.00;0.00;0.00;-1;0.00;0;-1;1;1579127.70;112756;1267200.00;0.00;25.20;-1;356;9.64;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112756;13.00;402436.00;-1;1.00;1;616243;3.89;0.00;200000.00;100;0.00;5413;1.00;616243;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;6.5937075687992985;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
3522366;6.33117048707483;5994;23.67;1579453.93;2.47;27.27272727272727;9.61;100.00;0.00;0.00;-1;0.00;0;-1;1;1579453.93;112796;1267200.00;0.00;23.67;-1;356;9.61;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112796;11.00;256332.00;-1;1.00;1;618148;2.47;0.00;200000.00;100;0.00;5994;1.00;618148;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1036800.00;0.00;4321;0;6.33117048707483;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
3452356;6.051168726499479;5330;23.72;1573838.72;1.98;26.446280991735538;9.41;100.00;0.00;0.00;-1;0.00;0;-1;1;1573838.72;110192;883200.00;10.00;23.72;-1;356;9.41;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;110192;25.00;303871.00;-1;1.00;1;614302;1.98;0.00;200000.00;100;0.00;5330;1.00;614302;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;6.051168726499479;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
455678;7.429664653456954;5307;28.62;1576704.98;2.38;32.231404958677686;9.64;100.00;0.00;0.00;-1;0.00;0;-1;1;1576704.98;112744;960000.00;0.00;28.62;-1;356;9.64;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112744;23.00;251782.00;-1;1.00;1;615412;2.38;0.00;200000.00;100;0.00;5307;1.00;615412;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;7.429664653456954;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
32477;5.670293616762956;5363;24.56;1578703.40;2.67;25.6198347107438;9.24;100.00;0.00;0.00;-1;0.00;0;-1;1;1578703.40;112768;1190400.00;0.00;24.56;-1;356;9.24;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;112768;5.00;129197.00;-1;1.00;1;615822;2.67;0.00;200000.00;100;0.00;5363;1.00;615822;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4321;0;5.670293616762956;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
89160419;6.918869958612698;6206;24.61;1573461.35;8.03;26.446280991735538;9.23;100.00;11.00;0.00;-1;0.00;0;-1;1;1573461.35;110160;1267200.00;0.00;24.61;-1;356;9.23;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;110160;31.00;451852.00;-1;1.00;1;606116;8.03;0.00;200000.00;100;0.00;6206;1.00;606116;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1267200.00;0.00;4321;0;6.918869958612698;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
26233;5.906854427315313;6528;21.00;1576216.86;0.00;29.75206611570248;9.49;100.00;0.00;0.00;-1;0.00;0;-1;1;1576216.86;110180;960000.00;0.00;21.00;-1;356;9.49;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;356;110180;11.00;124742.00;-1;1.00;1;612426;0.00;0.00;200000.00;100;0.00;6528;1.00;612426;100;4321;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1267200.00;0.00;4321;0;5.906854427315313;2799;218;1828;0;778;37.1900826446281;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3;PRODUCTIVITY
